date,area,mu_hat,sigma_hat,mean,variance,skewness,kurtosis,rmse_price,B,K_star,n_calls,n_puts,Kmin_put,Kmax_call,sigma_max,lambda_anchor
2012-02-29,EU,0.01887979832768499,0.019612967243451577,1.0192551674602655,0.0003997016878951679,0.05885210721898032,3.0061581003993805,0.1822642096389441,0.988610358713102,1.01924,4,3,0.99,1.05,0.3,2000.0
2012-03-30,EU,0.019182813946429195,0.019612964732034104,1.019564064443221,0.0003999438905348123,0.058852099679661415,3.006158098821433,0.16734983482493443,0.989742965867685,1.01955,4,3,0.99,1.05,0.3,2000.0
2012-04-30,EU,0.019468550992757773,0.01961296595100681,1.0198554333173748,0.0004001725631978256,0.0588521033390422,3.006158099587325,0.17915997353215413,0.9907926496456216,1.01984,4,3,0.99,1.05,0.3,2000.0
2012-05-31,EU,-0.024811104698106132,0.2824676675177263,1.015197207676246,0.08560108112031442,0.8885273963836999,4.4358821254793535,0.0895423259168476,0.9911692223967782,1.015196,4,3,0.99,1.05,0.3,2000.0
2012-06-29,EU,-0.032139458866727096,0.3,1.012943593543481,0.09662796864686861,0.949534907256536,4.644910405392265,0.09917047511993972,0.9915062772284676,1.01295,4,3,0.99,1.05,0.3,2000.0
2012-07-31,EU,0.014696995170687009,0.019612971683419075,1.0150007277614155,0.00039637206781108306,0.0588521205478487,3.0061581031890547,0.13275439972641373,0.9939682643982344,1.015,4,3,0.99,1.05,0.3,2000.0
2012-08-31,EU,0.017952642285301402,0.019612964273671568,1.0183105967635624,0.0003989610820917367,0.058852098303639466,3.00615809853344,0.15529435120331517,0.995072181732492,1.0183,4,3,0.99,1.05,0.3,2000.0
2012-09-28,EU,0.018346017475822787,0.019612962593330188,1.0187112536540814,0.0003992750199258326,0.05885209325921628,3.006158097477666,0.15018351863227328,0.995918352658662,1.0187,4,3,0.99,1.05,0.3,2000.0
2012-10-31,EU,0.018099664592039738,0.01961295977811496,1.0184603220528914,0.00039907822864424577,0.05885208480788696,3.00615809570884,0.11909226912230939,0.9959980293138982,1.018452,4,3,0.99,1.05,0.3,2000.0
2012-11-30,EU,0.01676787460875644,0.019612978377291337,1.0171048499712982,0.00039801742159782704,0.058852140642990346,3.0061581073948798,0.10614765668310093,0.9964762231253024,1.0171,4,3,0.99,1.05,0.3,2000.0
2012-12-31,EU,0.015337495829311045,0.01961295454309559,1.0156510442965783,0.0003968794522179517,0.05885206909225123,3.0061580924196294,0.09650260827150399,0.9967453080303736,1.01565,4,3,0.99,1.05,0.3,2000.0
2013-01-31,EU,0.00010445940195560404,0.17305660909701373,1.0151930123618331,0.03133235965972502,0.5283821194262248,3.5004582229397343,0.06129927217884428,0.9948930848589824,1.015195,4,3,0.99,1.05,0.3,2000.0
2013-02-28,EU,0.015386385688282038,0.019612954733164784,1.0157007005505176,0.0003969182685736483,0.058852069662840706,3.006158092539051,0.09170288908843302,0.9964562938001338,1.0157,4,3,0.99,1.05,0.3,2000.0
2013-03-29,EU,-0.00435688090831355,0.1872860380068745,1.0132684034028936,0.03665208949553159,0.573566135996114,3.5905660052370916,0.07240867151141851,0.9959283118919844,1.013275,4,3,0.99,1.05,0.3,2000.0
2013-04-30,EU,-0.00803276005471369,0.19821657488268962,1.0116798279094354,0.04101339526866688,0.6085603053306883,3.6656247863936997,0.0856798633130077,0.9967253733235608,1.01169,4,3,0.99,1.05,0.3,2000.0
2013-05-31,EU,-0.0030591672850644727,0.17279555808396493,1.0119407130046956,0.03103666635296237,0.5275569072686476,3.498883545028649,0.08302835990660547,0.996705439015438,1.01195,4,3,0.99,1.05,0.3,2000.0
2013-06-28,EU,-0.008889518086476157,0.19879017376063338,1.0109285333862907,0.04119458362875356,0.6104038890165847,3.6697073349989724,0.09302717266713698,0.9956295782107096,1.01094,4,3,0.99,1.05,0.3,2000.0
2013-07-31,EU,0.008422949731596548,0.10584202477828131,1.0141230174921065,0.011585970786064851,0.3196131398209267,3.1821605538357467,0.06760937676706757,0.995918352658662,1.01415,4,3,0.99,1.05,0.3,2000.0
2013-08-30,EU,0.00391350252071841,0.14415236183533625,1.0144062381036776,0.021606651130769587,0.43775605005466095,3.3426259860174117,0.053863568974439335,0.9955897538240742,1.01441,4,3,0.99,1.05,0.3,2000.0
2013-09-30,EU,0.0002780080174414258,0.1525403412894127,1.0119835197268539,0.024108978383605102,0.4639080199135021,3.385053623951025,0.06559945504707887,0.9958585993501196,1.01199,4,3,0.99,1.05,0.3,2000.0
2015-04-30,EU,-0.004114363427137737,0.1768498938659861,1.0115902312681386,0.03251082821996631,0.540387951601627,3.523655354210108,0.08736991429647852,0.9993052414565592,1.0116,4,3,0.99,1.05,0.3,2000.0
2016-12-30,EU,0.0028289958305313377,0.1361221287910325,1.0121670362254336,0.01915982897303547,0.41282297785514216,3.304517269189848,0.0736983919420545,1.0020220415744288,1.012175,4,3,0.99,1.05,0.3,2000.0
2017-01-31,EU,0.006414994383728683,0.11969387740249171,1.0136709103914878,0.014826974479964955,0.36210494240243896,3.2340172080084644,0.0488685367487507,1.0021823779276469,1.013675,4,3,0.99,1.05,0.3,2000.0
2017-02-28,EU,0.005816673083815006,0.12968531398955718,1.014327481833015,0.0174499883732542,0.39290630989880054,3.2757123026206365,0.056487423826103784,1.0021523129072865,1.01433,4,3,0.99,1.05,0.3,2000.0
2017-06-30,EU,-1.080541916405966e-05,0.1463255021045927,1.0107521643467363,0.022109915072513597,0.44452057552916485,3.353358948499338,0.08346995971492677,1.0023477516629629,1.010762,4,3,0.99,1.05,0.3,2000.0
2017-08-31,EU,0.0024971410792008143,0.13456112484060131,1.0116174537150062,0.018698621775711237,0.4079874503642869,3.2973903538744445,0.07140229393974785,1.0026033829312384,1.011625,4,3,0.99,1.05,0.3,2000.0
2017-09-29,EU,0.005459267231503331,0.12167866259689732,1.0129451884891671,0.015304520588176615,0.36821299637465127,3.242010703786246,0.05674239729595562,1.002558266794127,1.01295,4,3,0.99,1.05,0.3,2000.0
2017-10-31,EU,0.0056353088493687805,0.12583458014048146,1.0136447307537264,0.016398890411596565,0.3810194055544381,3.2592113642948046,0.06198441729424176,1.00266153561386,1.01365,4,3,0.99,1.05,0.3,2000.0
2017-11-30,EU,0.006790815761442543,0.12153048136183607,1.0142765956136315,0.015307151570560354,0.36775680050864756,3.241408995632356,0.05462053508893959,1.0026033829312384,1.01428,4,3,0.99,1.05,0.3,2000.0
2017-12-29,EU,0.006949117463903117,0.11519502659534442,1.013676747138069,0.013726225665433531,0.3482786572323103,3.2164242879686515,0.049241957384032066,1.0025763130053449,1.01368,4,3,0.99,1.05,0.3,2000.0
2018-01-31,EU,0.014202689245944256,0.019612952195736142,1.014499130481683,0.000395979615966597,0.05885206204542826,3.006158090944762,0.05309773348119674,1.0026485010986217,1.0145,4,3,0.99,1.05,0.3,2000.0
2018-02-28,EU,0.006120710645984954,0.11670301916522781,1.0130144684992703,0.014072015141851755,0.3529103180899147,3.222240326738204,0.05948881093629506,1.00252819049727,1.01302,4,3,0.99,1.05,0.3,2000.0
2018-03-30,EU,0.006256106210331673,0.11321165609188773,1.012745080727902,0.013230269597776654,0.34219119538107784,3.2088986879891888,0.05431973820044738,1.0026174194768551,1.01275,4,3,0.99,1.05,0.3,2000.0
2018-04-30,EU,0.004983653235188769,0.11863968714765684,1.0120938876487136,0.014519832405957424,0.3588628061097429,3.2298294437485255,0.061051518610521736,1.002574307854724,1.0121,4,3,0.99,1.05,0.3,2000.0
2018-05-31,EU,0.01558838691024102,0.01961299347943542,1.0159058948291622,0.0003970802267208579,0.05885218597992961,3.006158116883709,0.05242213753495213,1.0023126701055856,1.015903,4,3,0.99,1.05,0.3,2000.0
2018-06-29,EU,0.016692668756480643,0.019612963892195814,1.0170283603215287,0.00039795697146175645,0.05885209715843518,3.0061580982937546,0.0595220482035208,1.0025412234484603,1.017025,4,3,0.99,1.05,0.3,2000.0
2018-07-31,EU,0.016852205406408638,0.019612965361330625,1.0171906265916877,0.00039808402883817907,0.05885210156882289,3.006158099216826,0.06286557542343865,1.002533203150754,1.017187,4,3,0.99,1.05,0.3,2000.0
