date,area,K0_swap_mean,raw_m2,raw_m3,raw_m4,mean,variance,skewness,kurtosis,tail_frac,winsor_q,Kmin_used_put,Kmax_used_call,n_puts,n_calls
2011-05-31,EU,1.0239,1.0484326362894165,1.0736159590596155,1.099468612157851,1.0239,6.142628941652184e-05,-0.012447518696530211,15.218969575141346,0.6,,0.96966,1.06566,5,4
2011-06-30,EU,1.01885,1.0381162438616476,1.057808724776883,1.0779377404871069,1.01885,6.092136164759232e-05,-0.31490819641230267,16.086977900176937,0.6,,0.9726899999999999,1.0686900000000001,4,5
2011-07-29,EU,1.0167,1.0337465316909913,1.0511474031673165,1.068910661641269,1.0167,6.764169099149342e-05,-0.4282050189039325,14.001773634924863,0.6,,0.9739800000000001,1.0699800000000002,4,5
2011-08-31,EU,1.01486,1.0300118837104113,1.0454623456339471,1.0612183066020546,1.01486,7.106411041113425e-05,0.4091117776966664,13.632475227918222,0.6,,0.975084,1.071084,4,5
2011-09-30,EU,1.0166,1.033566103469452,1.050907490793833,1.0686336955001565,1.0166,9.054346945225333e-05,0.11261509308938752,14.76739005702762,0.6,,0.97404,1.07004,4,5
2011-10-31,EU,1.01849,1.037425541102143,1.0568187590067175,1.0766822533767286,1.01849,0.00010366100214320717,0.060887398522400625,12.069134593001007,0.6,,0.972906,1.0689060000000001,4,5
2011-11-30,EU,1.0215,1.043635182105545,1.0664247055633387,1.089888535292277,1.0215,0.00017293210554480964,-0.8501085292243991,9.31698968581972,0.6,,0.9711,1.0671,5,4
2011-12-30,EU,1.0192,1.0389340802051024,1.0592199369149973,1.0800761240127017,1.0192,0.00016544020510211865,0.5117862022059675,9.942145931145994,0.6,,0.9724799999999999,1.06848,4,5
2012-01-31,EU,1.01956,1.0396937404175097,1.0604216982653234,1.0817653868205814,1.01956,0.00019114681750975748,0.6724090907813325,8.541063673647795,0.6,,0.972264,1.068264,4,5
2012-02-29,EU,1.01924,1.0389994155622968,1.0592963151342485,1.0801496641858166,1.01924,0.0001492379622969331,1.2792329767988853,11.181614057958765,0.6,,0.972456,1.068456,4,5
2012-03-30,EU,1.01955,1.0395925492678642,1.0601422674170602,1.081214356875583,1.01955,0.00011034676786425557,0.5829418023136985,10.745850293389367,0.6,,0.97227,1.06827,4,5
2012-04-30,EU,1.01984,1.0401924691532725,1.0610733786972726,1.0824993602206427,1.01984,0.00011884355327218543,0.8398858019549188,9.797392249118756,0.6,,0.972096,1.068096,4,5
2012-05-31,EU,1.015196,1.0307244362671422,1.0465948011147943,1.0628170122415543,1.015196,0.00010151785114209666,1.3249998468632582,14.460534439583641,0.6,,0.9748824,1.0708824000000001,4,5
2012-06-29,EU,1.01295,1.0261778058449884,1.0396910658928207,1.0534977973787105,1.01295,0.00011010334498839924,1.0378940287453553,13.846073814147239,0.6,,0.9762299999999999,1.07223,4,5
2012-07-31,EU,1.015,1.0303210194137158,1.0459712868090867,1.0619593602492723,1.015,9.601941371606415e-05,0.5661604039361432,12.72080425047495,0.6,,0.9750000000000001,1.0710000000000002,4,5
2012-08-31,EU,1.0183,1.0370378852516826,1.0562260286351888,1.0758772675231256,1.0183,0.00010299525168266932,0.5644067712649906,9.634600832242514,0.6,,0.97302,1.06902,4,5
2012-09-28,EU,1.0187,1.0378320383692021,1.057407459355941,1.0774379809453758,1.0187,8.234836920228972e-05,0.24796888251244728,9.55792925380909,0.6,,0.97278,1.06878,4,5
2012-10-31,EU,1.018452,1.0373068452212906,1.0565743139720227,1.0762644774981518,1.018452,6.236891729072269e-05,0.08800204060587982,11.929310547733614,0.6,,0.9729288,1.0689288000000001,4,5
2012-11-30,EU,1.0171,1.0345547139478104,1.0523723364872217,1.0705613108710927,1.0171,6.230394781070459e-05,-0.0035782713507909684,13.889508580540578,0.6,,0.97374,1.0697400000000001,4,5
2012-12-31,EU,1.01565,1.0316015417822233,1.0478612047622935,1.0644357665930302,1.01565,5.661928222333579e-05,0.2067974285231445,15.450672881017654,0.6,,0.97461,1.07061,4,5
2013-01-31,EU,1.015195,1.0306754418418833,1.046447282527787,1.0625166588805355,1.015195,5.455381688324046e-05,-0.0947470583314269,17.89474026070744,0.6,,0.9748829999999999,1.070883,4,5
2013-02-28,EU,1.0157,1.0317051158871198,1.0480218891757744,1.0646570646895823,1.0157,5.8625887119578834e-05,-0.19973504300290856,17.887205035584895,0.6,,0.97458,1.07058,4,5
2013-03-29,EU,1.013275,1.0267859959808971,1.0405374986908462,1.0545341585134982,1.013275,5.9770355897326155e-05,-0.4522936775039825,15.809563090608497,0.6,,0.976035,1.072035,4,5
2013-04-30,EU,1.01169,1.0235805394221709,1.035675179206378,1.0479775946290615,1.01169,6.388332217088788e-05,-0.5424163307085405,13.778701883489854,0.6,,0.976986,1.072986,4,5
2013-06-28,EU,1.01094,1.0220627835791636,1.0333715014409675,1.0448694031043184,1.01094,6.309997916376098e-05,-0.4580189673246459,12.363181472986984,0.6,,0.977436,1.073436,4,5
2013-07-31,EU,1.01415,1.0285496419275755,1.0432037506885052,1.0581172868350148,1.01415,4.941942757530349e-05,-0.3053920665136989,17.2761596170591,0.6,,0.9755099999999999,1.07151,4,5
2013-08-30,EU,1.01441,1.029076407852974,1.0440042685468696,1.059198781901631,1.01441,4.875975297391477e-05,-0.16184566932846686,22.7722411504872,0.6,,0.9753539999999999,1.0713540000000001,4,5
2013-09-30,EU,1.01199,1.024170060428149,1.036543745137246,1.0491147353605905,1.01199,4.6300328149007086e-05,0.5546667391941217,22.575639610499433,0.6,,0.9768060000000001,1.0728060000000001,4,5
2015-04-30,EU,1.0116,1.0233870333258916,1.0353641897185646,1.0475346337399316,1.0116,5.247332589153331e-05,-0.7819521034797499,10.220302188557083,0.6,,0.9770399999999999,1.07304,4,5
2016-12-30,EU,1.012175,1.0245348914533312,1.0370825745890215,1.049821006248158,1.012175,3.666082833109208e-05,-1.0970422478083297,10.337229679795541,0.6,,0.976695,1.072695,4,5
2017-01-31,EU,1.013675,1.0275699253666826,1.0416884801748276,1.0560344474172092,1.013675,3.2919741682402304e-05,-1.0787811090216064,16.753084795663003,0.6,,0.975795,1.071795,4,5
2017-02-28,EU,1.01433,1.0288994842141228,1.0437128342362474,1.0587745286800134,1.01433,3.413531412288506e-05,-0.143067755149155,12.383249821845832,0.6,,0.975402,1.0714020000000002,4,5
2017-06-30,EU,1.010762,1.0216803641999708,1.0327574375581257,1.043995611767133,1.010762,4.054355597093995e-05,-0.8153695731882551,8.642667519721469,0.6,,0.9775428,1.0735428,4,5
2017-08-31,EU,1.011625,1.023421408510556,1.0353919223304306,1.0475392936472263,1.011625,3.6267885555885115e-05,-0.6366468654678176,10.78355450526364,0.6,,0.977025,1.0730250000000001,4,5
2017-09-29,EU,1.01295,1.0260996132238547,1.0394521752794736,1.053011091300498,1.01295,3.1910723854666756e-05,-0.420892632491256,12.985123034860344,0.6,,0.9762299999999999,1.07223,4,5
2017-10-31,EU,1.01365,1.0275189412041572,1.0416105540410174,1.0559286442466045,1.01365,3.2618704157272305e-05,-0.7977127977667494,11.50387708730112,0.6,,0.9758100000000001,1.0718100000000002,4,5
