date,area,instrument,mu_hat,sigma_hat,mean,variance,skewness,kurtosis
2017-04-28,EU,cap,1.02,0.009207145473634522,1.02,8.477152777266867e-05,0.0,3.0
2017-06-30,EU,cap,1.02,0.009363625734750665,1.02,8.767748690048493e-05,0.0,3.0
2017-07-31,EU,cap,1.02,0.009143288611783158,1.02,8.35997266383636e-05,0.0,3.0
2017-08-31,EU,cap,1.02,0.009265276050485938,1.02,8.58453402917083e-05,0.0,3.0
2017-09-29,EU,cap,1.02,0.009261261182979135,1.02,8.57709586993561e-05,0.0,3.0
2017-10-31,EU,cap,1.02,0.00911428883967315,1.02,8.307026105299055e-05,0.0,3.0
2017-11-30,EU,cap,1.02,0.009173704792486505,1.02,8.415685961968987e-05,0.0,3.0
2017-12-29,EU,cap,1.02,0.009260542227983025,1.02,8.575764235625681e-05,0.0,3.0
2018-01-31,EU,cap,1.02,0.00910880488321391,1.02,8.297032640046156e-05,0.0,3.0
2018-02-28,EU,cap,1.02,0.009006400949471695,1.02,8.111525806264466e-05,0.0,3.0
2018-03-30,EU,cap,1.02,0.00910611858652263,1.02,8.292139571181291e-05,0.0,3.0
2018-04-30,EU,cap,1.02,0.009207706838830874,1.02,8.478186522985285e-05,0.0,3.0
2018-05-31,EU,cap,1.02,0.009057427486418876,1.02,8.203699267173615e-05,0.0,3.0
2018-06-29,EU,cap,1.02,0.009160130682108483,1.02,8.390799411330523e-05,0.0,3.0
2018-07-31,EU,cap,1.02,0.009266878893725686,1.02,8.58750444309786e-05,0.0,3.0
2018-08-31,EU,cap,1.02,0.009361404970750158,1.02,8.763590302638576e-05,0.0,3.0
2018-09-28,EU,cap,1.02,0.009098273592298072,1.02,8.277858236030847e-05,0.0,3.0
2018-11-30,EU,cap,1.02,0.009220970646004967,1.02,8.502629965448525e-05,0.0,3.0
2018-12-31,EU,cap,1.02,0.008731231150625709,1.02,7.623439740565674e-05,0.0,3.0
2019-01-31,EU,cap,1.02,0.01021168529117845,1.02,0.0001042785164860703,0.0,3.0
2019-02-28,EU,cap,1.02,0.009361404967019406,1.02,8.76359029565356e-05,0.0,3.0
2019-03-29,EU,cap,1.02,0.009114288837919255,1.02,8.307026102101951e-05,0.0,3.0
2019-04-30,EU,cap,1.02,0.009015293562067586,1.02,8.127551801025726e-05,0.0,3.0
2019-05-31,EU,cap,1.02,0.008951313387138577,1.02,8.01260113547663e-05,0.0,3.0
2019-06-28,EU,cap,1.02,0.009361404967019406,1.02,8.76359029565356e-05,0.0,3.0
2019-07-31,EU,cap,1.02,0.009171879324682665,1.02,8.412337034654134e-05,0.0,3.0
2019-08-30,EU,cap,1.02,0.010925887519364257,1.02,0.00011937501808579964,0.0,3.0
2019-09-30,EU,cap,1.02,0.008731231148222692,1.02,7.623439736369414e-05,0.0,3.0
2019-10-31,EU,cap,1.02,0.009457131232568658,1.02,8.943733115002558e-05,0.0,3.0
2019-11-29,EU,cap,1.02,0.00906608223767005,1.02,8.219384714019637e-05,0.0,3.0
2019-12-31,EU,cap,1.02,0.009337672694408381,1.02,8.719213134789988e-05,0.0,3.0
2020-01-31,EU,cap,1.02,0.00906608223767005,1.02,8.219384714019637e-05,0.0,3.0
2020-02-28,EU,cap,1.02,0.00873123114814239,1.02,7.623439736229188e-05,0.0,3.0
2020-03-31,EU,cap,1.05,0.006543853196370366,1.05,4.2822014655646655e-05,0.0,3.0
2020-05-29,EU,cap,1.02,0.008731231147287879,1.02,7.623439734737e-05,0.0,3.0
2020-06-30,EU,cap,1.02,0.008731231148579705,1.02,7.623439736992847e-05,0.0,3.0
2020-07-31,EU,cap,1.02,0.009602619256748594,1.02,9.221029659007893e-05,0.0,3.0
2020-08-31,EU,cap,1.02,0.010203341107670382,1.02,0.00010410816975947627,0.0,3.0
2020-09-30,EU,cap,1.02,0.010186825253010717,1.02,0.00010377140873537685,0.0,3.0
2020-10-30,EU,cap,1.02,0.010925887519364257,1.02,0.00011937501808579964,0.0,3.0
2020-11-30,EU,cap,1.02,0.009244975882374606,1.02,8.546957906568813e-05,0.0,3.0
2020-12-31,EU,cap,1.02,0.009881334383002061,1.02,9.764076918869872e-05,0.0,3.0
2021-01-29,EU,cap,1.02,0.00904200241733757,1.02,8.175780771513845e-05,0.0,3.0
2021-02-26,EU,cap,1.02,0.009394713450428638,1.02,8.826064081566476e-05,0.0,3.0
2021-03-31,EU,cap,1.02,0.007221486590598507,1.02,5.214986857819405e-05,0.0,3.0
2021-04-30,EU,cap,1.02,0.009158396666473828,1.02,8.387622950047893e-05,0.0,3.0
2021-05-31,EU,cap,1.02,0.010251240845492525,1.02,0.0001050879388722943,0.0,3.0
2021-06-30,EU,cap,1.02,0.00927782743747693,1.02,8.607808195959975e-05,0.0,3.0
2021-07-30,EU,cap,1.02,0.009322554180949218,1.02,8.691001645673374e-05,0.0,3.0
2021-08-31,EU,cap,1.02,0.009429128517033867,1.02,8.89084645907413e-05,0.0,3.0
2021-09-30,EU,cap,1.02,0.009851008498807426,1.02,9.704236844357613e-05,0.0,3.0
2021-10-29,EU,cap,1.02,0.01144418228894166,1.02,0.00013096930826252595,0.0,3.0
2021-11-30,EU,cap,1.02,0.010039890801516696,1.02,0.00010079940730637956,0.0,3.0
2021-12-31,EU,cap,1.02,0.010867116467654061,1.02,0.00011809422032155807,0.0,3.0
2022-01-31,EU,cap,1.02,0.012871422001649568,1.02,0.00016567350434454857,0.0,3.0
2022-02-28,EU,cap,1.05,0.009997643517395086,1.05,9.995287590091198e-05,0.0,3.0
2022-03-31,EU,cap,1.05,0.009273126913789573,1.05,8.599088275924853e-05,0.0,3.0
2022-04-29,EU,cap,1.05,0.009361404970361782,1.05,8.763590301911429e-05,0.0,3.0
2022-06-30,EU,cap,1.05,0.009490066606504595,1.05,9.006136419589363e-05,0.0,3.0
2022-07-29,EU,cap,1.02,0.0058433337309563545,1.02,3.414454909133231e-05,0.0,3.0
