date,area,instrument,mean,variance,skewness,kurtosis,B,K_star,Kmin,Kmax,n_strikes
2011-04-29,EU,two_sided,1.0252339567702813,0.0001336903448247343,0.1386523172581584,2.2329405893611196,0.9806349587826956,1.0241,0.99,1.05,7
2011-05-31,EU,two_sided,1.0260533736727038,0.00020419963631095343,-0.22659102746457938,2.1387525318957477,0.9810910600738614,1.0239,0.99,1.05,7
2011-06-30,EU,two_sided,1.0195165604734657,7.75111773386808e-05,-0.03295046669235446,2.399975591245365,0.9804633626800056,1.01885,0.99,1.05,7
2011-07-29,EU,two_sided,1.0160293201865067,0.00014272684873275473,-0.10917966961459613,2.2818659783973247,0.9815375580767876,1.0167,0.99,1.05,7
2011-08-31,EU,two_sided,1.0131608153218652,0.0001326863367150808,-0.10684714901338166,2.127676641597128,0.9839501930795812,1.01486,0.99,1.05,7
2011-09-30,EU,two_sided,1.014670733728177,0.00018182737243772158,0.08658628725718198,2.137826210501462,0.9841962113788572,1.0166,0.99,1.05,7
2011-10-31,EU,two_sided,1.017940434401154,0.00021751244327277848,0.0749645386128559,2.157856046112359,0.9841666859353996,1.01849,0.99,1.05,7
2011-11-30,EU,two_sided,1.022650445355454,0.00026526716529551883,-0.16122647852339322,1.9641128747770638,0.9851611964314532,1.0215,0.99,1.05,7
2011-12-30,EU,two_sided,1.0186535815420443,0.0002143086188945162,0.044943008265571405,2.1780466731595505,0.9859003444746456,1.0192,0.99,1.05,7
2012-01-31,EU,two_sided,1.01696630920812,0.0002182347440583628,0.11658095974813498,2.1454963038216004,0.9876568098782542,1.01956,0.99,1.05,7
2012-02-29,EU,two_sided,1.0168759553755677,0.00018813187881003068,0.04133141924458161,2.2236617933463085,0.988610358713102,1.01924,0.99,1.05,7
2012-04-30,EU,two_sided,1.0192487825893481,0.00022935190766182375,0.032139806476634725,2.1120737571891137,0.9907926496456216,1.01984,0.99,1.05,7
2012-05-31,EU,two_sided,1.0116913949668416,0.0001785051202633792,0.25642064837553746,2.1066615268022137,0.9911692223967782,1.015196,0.99,1.05,7
2012-06-29,EU,two_sided,1.0098300962605822,0.0001647582572206881,0.34559759409555624,2.1403459822651643,0.9915062772284676,1.01295,0.99,1.05,7
2012-07-31,EU,two_sided,1.01237063301069,0.000161062259088758,0.10200829172844239,2.0660920221023273,0.9939682643982344,1.015,0.99,1.05,7
2012-08-31,EU,two_sided,1.0163952183293,0.00018928916897550377,0.05663903619427402,2.200644865615585,0.995072181732492,1.0183,0.99,1.05,7
2012-09-28,EU,two_sided,1.0179119195891535,0.0002514640282917607,0.11453925377806462,2.014944714975102,0.995918352658662,1.0187,0.99,1.05,7
